"spp","TL"
"Engraulis ringens",2.85999989509582
"Sardinops sagax",2.725
"Sardinops melanostictus",NA
"Trachurus murphyi",3.41
"Mallotus villosus",3.175
"Clupea harengus",3.33749999046326
"Micromesistius poutassou",3.91500002384186
"Engraulis japonicus",2.89
"Sardinops ocellatus",NA
"Ammodytes spp",NA
"Sardina pilchardus",3
"Brevoortia patronus",2.19
"Sprattus sprattus",3.01
"Strangomera bentincki",2.69
"Trisopterus esmarkii",3.485
"Sardinops caeruleus",NA
"Engraulis encrasicolus",3.12
"Anchoa nasus",NA
"Decapterus spp",NA
"Cololabis saira",3.71
"Trachurus spp",NA
"Brevoortia tyrannus",2.92
"Trachurus japonicus",3.4
"Sardinella spp",NA
"Trachurus trachurus",3.945
"Clupea pallasii",NA
"Sardinella longiceps",2.41000008583069
"Larimichthys polyactis",3.68
"Sardinella aurita",3.22
"Engraulis mordax",3.1
"Merluccius productus",4.16500000953674
"Boreogadus saida",3.195
"Cetengraulis mysticetus",2.47000002861023
"Stephanolepis cirrhifer",2.84
"Normanichthys crockeri",2.75
"Ammodytes personatus",NA
"Exocoetidae",NA
"Rastrelliger kanagurta",3.19000005722046
"Tenualosa ilisha",2.89
"Rastrelliger brachysoma",2.72
"Micromesistius australis",3.34
"Sardinella maderensis",3.2
"Ethmalosa fimbriata",2.46000003814697
"Opisthonema libertate",2.89
"Clupeoidei",NA
"Harpadon nehereus",4.2
"Sardinella gibbosa",2.85
"Pseudopentaceros wheeleri",NA
"Selar crumenophthalmus",3.69
"Selaroides leptolepis",3.72499994754791
"Decapterus russelli",3.59999999046326
"Leiognathidae",NA
"Engraulidae",NA
"Capros aper",3.17
"Clupeonella cultriventris",3.015
"Pennahia argentata",3.9
"Decapterus maruadsi",3.4
"Sardinella lemuru",2.48
"Ilisha elongata",3.79
"Etrumeus whiteheadi",3.4
"Gobiidae",NA
"Caesionidae",NA
"Scorpaenidae",NA
"Synodontidae",NA
"Etrumeus teres",NA
"Electrona carlsbergi",3.23
"Dussumieria acuta",3.4
"Patagonotothen ramsayi",3.49
"Moridae",NA
"Arctoscopus japonicus",3.51
"Alosa pseudoharengus",3.34
"Sprattus fuegensis",2.6
"Decapterus macrosoma",3.4
"Eutrigla gurnardus",4.12
"Ethmidium maculatum",2.445
"Maurolicus muelleri",3.13
"Engraulis anchoita",2.51
"Lampanyctodes hectoris",3.16
"Stromateidae",NA
"Gerreidae",NA
"Brachydeuterus auritus",3.03
"Patagonotothen brevicauda",NA
"Synagrops japonicus",4.27
"Amblygaster sirm",2.89
"Cephalopholis boenak",3.95
"Boops boops",2.95
"Mullidae",NA
"Myctophidae",NA
"Macroramphosus scolopax",3.47
"Brama australis",4.03
"Sillaginidae",NA
"Triglidae",NA
"Trisopterus luscus",3.73
"Lactarius lactarius",4.07
"Priacanthus macracanthus",4.11
"Sardinella zunasi",3.145
"Hypoptychus dybowskii",NA
"Konosirus punctatus",2.94
"Psenopsis anomala",4
"Pseudotolithus elongatus",4.06
"Limanda limanda",3.39
"Labridae",NA
"Umbrina canosai",3.85
"Cynoglossidae",NA
"Chlorophthalmidae",NA
"Opisthonema oglinum",4.05
"Tetraodontidae",NA
"Gasterosteus aculeatus",3.34500005722046
"Caranx rhonchus",3.6
"Zoarces viviparus",3.47
"Nemipterus virgatus",3.99
"Chloroscombrus orqueta",2.895
"Peprilus triacanthus",3.795
"Pagellus bellottii",3.6
"Mullus barbatus",NA
"Mene maculata",3.45
"Ilisha africana",3.36
"Glossanodon semifasciatus",3.14
"Clupanodon thrissa",NA
"Soleidae",NA
"Spratelloides gracilis",3.23
"Atherinidae",NA
"Bregmaceros mcclellandi",3.3
"Macrodon ancylodon",3.9
"Benthosema pterotum",3.14
"Anodontostoma chacunda",2.83999991416931
"Atrobucca nibe",3.96
"Osmerus eperlanus",3.46000003814697
"Acanthuridae",NA
"Pellona ditchela",NA
"Pterogymnus laniarius",3.59
"Brevoortia aurea",2.75
"Atherina boyeri",3.22
"Drepane africana",3.1
"Liza klunzingeri",2.63
"Cynoscion analis",3.925
"Mullus surmuletus",3.455
"Chaenodraco wilsoni",3.305
"Cyprinidae",NA
"Isacia conceptionis",2.91
"Urophycis brasiliensis",3.94
"Monacanthidae",NA
"Chirocentrus nudus",4.19
"Nemipterus japonicus",4.12
