common_name,sci_name,ISSCAAP_Group,crop,Amount,Group,Comment
European eel,Anguilla anguilla,River eels,other animal byproducts,6.2,Diadromous,
European eel,Anguilla anguilla,River eels,soybean meal,5.5,Diadromous,
European eel,Anguilla anguilla,River eels,wheat meal,22.9,Diadromous,
European eel,Anguilla anguilla,River eels,fish meal,63.4,Diadromous,
European eel,Anguilla anguilla,River eels,fish oil,0.0,Diadromous,
Atlantic salmon,Salmo salar,"Salmons, trouts, smelts",maize meal,24.3,Diadromous,
Atlantic salmon,Salmo salar,"Salmons, trouts, smelts",soybean meal,9.9,Diadromous,
Atlantic salmon,Salmo salar,"Salmons, trouts, smelts",wheat meal,9.3,Diadromous,
Atlantic salmon,Salmo salar,"Salmons, trouts, smelts",fish meal,30.4,Diadromous,
Atlantic salmon,Salmo salar,"Salmons, trouts, smelts",fish oil,21.9,Diadromous,
Rainbow trout,Oncorhynchus mykiss,"Salmons, trouts, smelts",maize meal,16.8,Diadromous,
Rainbow trout,Oncorhynchus mykiss,"Salmons, trouts, smelts",soybean meal,8.2,Diadromous,
Rainbow trout,Oncorhynchus mykiss,"Salmons, trouts, smelts",wheat meal,21.6,Diadromous,
Rainbow trout,Oncorhynchus mykiss,"Salmons, trouts, smelts",soybean oil,3.4,Diadromous,
Rainbow trout,Oncorhynchus mykiss,"Salmons, trouts, smelts",fish meal,36.6,Diadromous,
Rainbow trout,Oncorhynchus mykiss,"Salmons, trouts, smelts",fish oil,9.5,Diadromous,
Milk fish,Chanos chanos,Miscellaneous diadromous fishes,maize meal,4.5,Diadromous,
Milk fish,Chanos chanos,Miscellaneous diadromous fishes,rice bran,30.8,Diadromous,
Milk fish,Chanos chanos,Miscellaneous diadromous fishes,soybean meal,31.9,Diadromous,
Milk fish,Chanos chanos,Miscellaneous diadromous fishes,wheat meal,6.5,Diadromous,
Milk fish,Chanos chanos,Miscellaneous diadromous fishes,wheat bran,2.7,Diadromous,
Milk fish,Chanos chanos,Miscellaneous diadromous fishes,wheat meal,3.4,Diadromous,
Milk fish,Chanos chanos,Miscellaneous diadromous fishes,fish meal,8.0,Diadromous,
Milk fish,Chanos chanos,Miscellaneous diadromous fishes,fish oil,0.0,Diadromous,
Barramundi,Lates calcarifer,Miscellaneous diadromous fishes,maize meal,15.1,Diadromous,
Barramundi,Lates calcarifer,Miscellaneous diadromous fishes,other animal byproducts,35.3,Diadromous,
Barramundi,Lates calcarifer,Miscellaneous diadromous fishes,groundnut meal,9.3,Diadromous,
Barramundi,Lates calcarifer,Miscellaneous diadromous fishes,rice bran,19.9,Diadromous,
Barramundi,Lates calcarifer,Miscellaneous diadromous fishes,soybean meal,9.9,Diadromous,
Barramundi,Lates calcarifer,Miscellaneous diadromous fishes,fish meal,8.0,Diadromous,
Barramundi,Lates calcarifer,Miscellaneous diadromous fishes,fish oil,0.0,Diadromous,
Common carp,Cyprinus carpio,"Carps, barbels and other cyprinids",canola oilcake,41.4,Brackish/marine,
Common carp,Cyprinus carpio,"Carps, barbels and other cyprinids",mustard oilcake,8.6,Brackish/marine,
Common carp,Cyprinus carpio,"Carps, barbels and other cyprinids",soybean cake,28.4,Brackish/marine,
Common carp,Cyprinus carpio,"Carps, barbels and other cyprinids",wheat meal,11.7,Brackish/marine,
Common carp,Cyprinus carpio,"Carps, barbels and other cyprinids",wheat bran,3.1,Brackish/marine,
Common carp,Cyprinus carpio,"Carps, barbels and other cyprinids",fish meal,2.7,Brackish/marine,
Common carp,Cyprinus carpio,"Carps, barbels and other cyprinids",fish oil,0.0,Brackish/marine,
European flounder,Platichthys flesus,"Flounders, halibuts, soles",maize meal,2.7,Marine,
European flounder,Platichthys flesus,"Flounders, halibuts, soles",other animal byproducts,6.9,Marine,
European flounder,Platichthys flesus,"Flounders, halibuts, soles",groundnut meal,9.9,Marine,
European flounder,Platichthys flesus,"Flounders, halibuts, soles",soybean cake,9.6,Marine,
European flounder,Platichthys flesus,"Flounders, halibuts, soles",wheat meal,14.4,Marine,
European flounder,Platichthys flesus,"Flounders, halibuts, soles",wheat,7.9,Marine,
European flounder,Platichthys flesus,"Flounders, halibuts, soles",fish meal,42.9,Marine,
European flounder,Platichthys flesus,"Flounders, halibuts, soles",fish oil,0.0,Marine,
Atlantic cod,Gadus morhua,"Cods, hakes, haddocks",soybean meal,0.4,Marine,*used detailed data
Atlantic cod,Gadus morhua,"Cods, hakes, haddocks",soybean oil,0.0,Marine,*used detailed data
Atlantic cod,Gadus morhua,"Cods, hakes, haddocks",wheat,0.3,Marine,*used detailed data
Atlantic cod,Gadus morhua,"Cods, hakes, haddocks",wheat meal,0.4,Marine,*used detailed data
Atlantic cod,Gadus morhua,"Cods, hakes, haddocks",corn,0.0,Marine,*used detailed data
Atlantic cod,Gadus morhua,"Cods, hakes, haddocks",corn meal,0.0,Marine,*used detailed data
Atlantic cod,Gadus morhua,"Cods, hakes, haddocks",cassava,0.0,Marine,*used detailed data
Atlantic cod,Gadus morhua,"Cods, hakes, haddocks",rapeseed meal,0.0,Marine,*used detailed data
Atlantic cod,Gadus morhua,"Cods, hakes, haddocks",rapeseed oil,0.0,Marine,*used detailed data
Atlantic cod,Gadus morhua,"Cods, hakes, haddocks",other animal byproducts,0.0,Marine,*used detailed data
