3Alpha_Code,Taxonomic_Code,Scientific_Name1,Name_en,Name_fr,Name_es,Name_ar,Name_cn,Name_ru,Scientific_Name,Author,Family_Group,Order_Group,Major_Group,Yearbook_Group,ISSCAAP_Group,CPC_Group,CPCdiv_Group
LAU,1020100101,Petromyzon marinus,Sea lamprey,Lamproie marine,Lamprea marina,,,_œ_¸_______° ____Ñ€ÑÅ_º_°Ñè,Petromyzon marinus,Linnaeus 1758,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAR,1020100201,Lampetra fluviatilis,River lamprey,Lamproie de riviÃ¨re,Lamprea de rÃ_o,,,_œ_¸_______° Ñ€_µÑ‡___°Ñè,Lampetra fluviatilis,(Linnaeus 1758),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDK,1020100203,Lampetra aepyptera,Least brook lamprey,Petite lamproie de ruisseau,,,,,Lampetra aepyptera,(Abbott 1860),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDL,1020100204,Lampetra ayresii,Western American river lamprey,Lamproie de riviÃ¨re de lâ€™Ouest,,,,,Lampetra ayresii,(GÃ_nther 1870),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDN,1020100205,Lampetra planeri,European brook lamprey,Lamproie de ruisseau d'Europe,,,,,Lampetra planeri,(Bloch 1784),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDO,1020100206,Lampetra richardsoni,Western brook lamprey,Lamproie occidentale,,,,,Lampetra richardsoni,Vladykov & Follett 1965,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKQ,1020100207,Lampetra lanceolata,Turkish brook lamprey,Lamproie de ruisseau turque,,,,,Lampetra lanceolata,Kux & Steiner 1972,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKR,1020100208,Lampetra pacifica,Pacific brook lamprey,Lamproie de ruisseau du Pacif.,,,,,Lampetra pacifica,Vladykov 1973,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAY,1020100401,Ichthyomyzon unicuspis,Silver lamprey,Lamproie argentÃ©e,,,,,Ichthyomyzon unicuspis,Hubbs & Trautman 1937,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDE,1020100402,Ichthyomyzon bdellium,Ohio lamprey,Lamproie de lâ€™Ohio,,,,,Ichthyomyzon bdellium,(Jordan 1885),PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDG,1020100403,Ichthyomyzon castaneus,Chestnut lamprey,Lamproie brune,,,,,Ichthyomyzon castaneus,Girard 1858,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDH,1020100404,Ichthyomyzon fossor,Northern brook lamprey,Lamproie du Nord,,,,,Ichthyomyzon fossor,Reighard & Cummins 1916,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.",Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
