Name_en,ISSCAAP_Group,Taxa,Group,Envrionment
Giant river prawn,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
Danube crayfish,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
Marron crayfish,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
Yabby crayfish,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
Red claw crayfish,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
Euro-American crayfishes nei,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
"Freshwater prawns, shrimps nei",Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
Noble crayfish,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
Oriental river prawn,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
Red swamp crawfish,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
Chinese mitten crab,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
Whiteleg shrimp,"Shrimps, prawns",Shrimps,CRUSTACEA,Freshwater
Sawtooth caridina,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
River prawns nei,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
Monsoon river prawn,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
Freshwater crustaceans nei,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
Signal crayfish,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
Natantian decapods nei,"Shrimps, prawns",Shrimps,CRUSTACEA,Freshwater
Monkey river prawn,Freshwater crustaceans,FW crustaceans,CRUSTACEA,Freshwater
Cyprinids nei,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Rainbow trout,Trouts,Trouts,PISCES,Freshwater
Common carp,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Crucian carp,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Roaches nei,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Grass carp(=White amur),"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Wuchang bream,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Freshwater fishes nei,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Mullets nei,Miscellaneous coastal fishes,Marine fishes,PISCES,Freshwater
Freshwater bream,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Largemouth black bass,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Pike-perch,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Bleak,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Barbel,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Nile tilapia,Tilapias and other cichlids,Tilapias,PISCES,Freshwater
Tilapias nei,Tilapias and other cichlids,Tilapias,PISCES,Freshwater
Dorado,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Pacu,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Streaked prochilod,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
South American catfish,Miscellaneous freshwater fishes,Catfishes,PISCES,Freshwater
Sorubims nei,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Danube sturgeon(=Osetr),"Sturgeons, paddlefishes",Diadromous fishes,PISCES,Freshwater
Siberian sturgeon,"Sturgeons, paddlefishes",Diadromous fishes,PISCES,Freshwater
Beluga,"Sturgeons, paddlefishes",Diadromous fishes,PISCES,Freshwater
Sturgeons nei,"Sturgeons, paddlefishes",Diadromous fishes,PISCES,Freshwater
Trouts nei,Trouts,Trouts,PISCES,Freshwater
Silver perch,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
European perch,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Sea trout,Trouts,Trouts,PISCES,Freshwater
Brook trout,Trouts,Trouts,PISCES,Freshwater
Grayling,Trouts,Trouts,PISCES,Freshwater
Whitefishes nei,Trouts,Trouts,PISCES,Freshwater
Tench,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Northern pike,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Catfishes nei,Miscellaneous freshwater fishes,Catfishes,PISCES,Freshwater
North African catfish,Miscellaneous freshwater fishes,Catfishes,PISCES,Freshwater
Arctic char,Trouts,Trouts,PISCES,Freshwater
Huchen,Trouts,Trouts,PISCES,Freshwater
Salmonoids nei,Salmon,Salmons,PISCES,Freshwater
Orangefin labeo,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Asian barbs nei,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Olive barb,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Silver barb,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Clown knifefish,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Bronze featherback,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Wallago,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Philippine catfish,Miscellaneous freshwater fishes,Catfishes,PISCES,Freshwater
Striped catfish,Miscellaneous freshwater fishes,Catfishes,PISCES,Freshwater
Stinging catfish,Miscellaneous freshwater fishes,Catfishes,PISCES,Freshwater
Climbing perch,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Spotted snakehead,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Striped snakehead,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Wels(=Som) catfish,Miscellaneous freshwater fishes,Catfishes,PISCES,Freshwater
Sterlet sturgeon,"Sturgeons, paddlefishes",Diadromous fishes,PISCES,Freshwater
Cachama,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Pirapatinga,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Argentinian silverside,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Arapaima,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Banded astyanax,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
"Tambacu, hybrid",Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
"Tambatinga, hybrid",Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Prochilods nei,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Freshwater siluroids nei,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Torpedo-shaped catfishes nei,Miscellaneous freshwater fishes,Catfishes,PISCES,Freshwater
Pangas catfishes nei,Miscellaneous freshwater fishes,Catfishes,PISCES,Freshwater
Buffalofishes nei,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Common nase,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Goldfish,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Rudd,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Chub,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Danube bleak,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Black carp,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Channel catfish,Miscellaneous freshwater fishes,Catfishes,PISCES,Freshwater
Starry sturgeon,"Sturgeons, paddlefishes",Diadromous fishes,PISCES,Freshwater
Barramundi(=Giant seaperch),Miscellaneous diadromous fishes,Diadromous fishes,PISCES,Freshwater
Mudfish,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Blue tilapia,Tilapias and other cichlids,Tilapias,PISCES,Freshwater
African bonytongue,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Hoven's carp,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Asian swamp eel,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Snakeskin gourami,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Banded jewelfish,Tilapias and other cichlids,Tilapias,PISCES,Freshwater
Sampa,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Parachanna snakeheads nei,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Atlantic salmon,Salmon,Salmons,PISCES,Freshwater
Coho(=Silver) salmon,Salmon,Salmons,PISCES,Freshwater
Mud carp,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Hong Kong catfish,Miscellaneous freshwater fishes,Catfishes,PISCES,Freshwater
Snakeheads(=Murrels) nei,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Flathead grey mullet,Miscellaneous coastal fishes,Marine fishes,PISCES,Freshwater
0,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
Pond loach,"Carps, barbels and other cyprinids",Carps,PISCES,Freshwater
"Blue-Nile tilapia, hybrid",Tilapias and other cichlids,Tilapias,PISCES,Freshwater
Amur catfish,Miscellaneous freshwater fishes,Catfishes,PISCES,Freshwater
Chinese longsnout catfish,Miscellaneous freshwater fishes,Catfishes,PISCES,Freshwater
Yellow catfish,Miscellaneous freshwater fishes,Catfishes,PISCES,Freshwater
Mandarin fish,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Snakehead,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Japanese eel,River eels,Eels,PISCES,Freshwater
Pond smelt,Trouts,Trouts,PISCES,Freshwater
Clearhead icefish,Trouts,Trouts,PISCES,Freshwater
Obscure pufferfish,Miscellaneous coastal fishes,Marine fishes,PISCES,Freshwater
Redbreast tilapia,Tilapias and other cichlids,Tilapias,PISCES,Freshwater
Netted prochilod,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Black prochilodus,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
Barred sorubim,Miscellaneous freshwater fishes,FW fishes,PISCES,Freshwater
European whitefish,"Salmons, trouts, smelts",Smelts,PISCES,Freshwater
European eel,River eels,Eels,PISCES,Freshwater
