Taxa,Year,FM,FO,Total,Feeds_used,Prod
Carps,1995,10,0,10,1970,4924
Carps,1996,10,0,10,2848,5696
Carps,1997,10,0,10,3797,6329
Carps,1998,10,0,10,4907,7010
Carps,1999,9,0,10,5584,7755
Carps,2000,9,0,10,5316,7184
Carps,2001,8,0,10,5581,7730
Carps,2002,8,0,10,6468,8105
Carps,2003,8,0,10,6917,8467
Carps,2004,8,0,10,6851,8195
Carps,2005,8,0,10,6984,8622
Carps,2006,5,0,10,7382,8916
Carps,2007,5,0,10,7872,9305
Carps,2010,3,0,10,10158,11287
Carps,2015,2,0,10,13501,14440
Carps,2020,1,0,10,16865,17568
Shrimps,1995,28,2,30,1392,928
Shrimps,1996,27,2,30,1376,917
Shrimps,1997,26,2,30,1418,933
Shrimps,1998,26,2,30,1558,999
Shrimps,1999,25,2,30,1709,1068
Shrimps,2000,25,2,30,1751,1137
Shrimps,2001,25,2,30,2045,1311
Shrimps,2002,25,2,30,2174,1467
Shrimps,2003,24,2,30,3006,2051
Shrimps,2004,24,2,30,3548,2364
Shrimps,2005,24,2,30,4005,2668
Shrimps,2006,20,2,30,4480,3111
Shrimps,2007,18,2,30,4803,3294
Shrimps,2010,12,2,30,5268,3779
Shrimps,2015,8,1.5,30,6833,4729
Shrimps,2020,5,1,30,7631,5482
Tilapias,1995,14,1,15,984,703
Tilapias,1996,13,1,15,1150,810
Tilapias,1997,13,1,15,1341,931
Tilapias,1998,12,1,15,1319,951
Tilapias,1999,12,1,15,1552,1104
Tilapias,2000,11,1,15,1696,1190
Tilapias,2001,11,1,15,1880,1302
Tilapias,2002,10,1,15,1953,1417
Tilapias,2003,10,1,15,2215,1587
Tilapias,2004,9,1,15,2530,1795
Tilapias,2005,9,1,15,2852,1992
Tilapias,2006,6,0.5,15,3056,2234
Tilapias,2007,5,0,15,3493,2554
Tilapias,2010,3,0,15,5053,3497
Tilapias,2015,2,0,15,9178,5999
Tilapias,2020,1,0,15,13397,8814
Marine fishes,1995,50,15,65,498,498
Marine fishes,1996,50,15,65,528,528
Marine fishes,1997,50,15,65,685,646
Marine fishes,1998,48,14,65,819,731
Marine fishes,1999,46,12,65,913,787
Marine fishes,2000,44,10,65,1172,977
Marine fishes,2001,42,10,65,1303,1051
Marine fishes,2002,41,8,65,1511,1162
Marine fishes,2003,40,8,65,1644,1227
Marine fishes,2004,39,8,65,1697,1276
Marine fishes,2005,36,8,65,1916,1441
Marine fishes,2006,32,8,65,2216,1643
Marine fishes,2007,30,7,65,2376,1737
Marine fishes,2010,24,6,65,2587,1840
Marine fishes,2015,16,4,65,3734,2746
Marine fishes,2020,8,3,65,4998,3675
Salmons,1995,45,25,70,806,537
Salmons,1996,44,25,70,965,643
Salmons,1997,43,25,70,1037,741
Salmons,1998,42,24,70,1105,789
Salmons,1999,41,24,70,1274,910
Salmons,2000,40,23,70,1332,1025
Salmons,2001,39,23,70,1566,1205
Salmons,2002,38,22,70,1591,1224
Salmons,2003,37,22,70,1665,1281
Salmons,2004,36,21,70,1794,1380
Salmons,2005,35,21,70,1824,1403
Salmons,2006,30,20,70,1912,1471
Salmons,2007,24,16,70,1985,1527
Salmons,2010,18,12,70,2109,1622
Salmons,2015,12,8,70,3969,3053
Salmons,2020,8,6,70,5832,4486
Trouts,1995,40,20,60,588,392
Trouts,1996,38,20,60,632,421
Trouts,1997,38,18,60,662,473
Trouts,1998,37,18,60,687,491
Trouts,1999,37,17,60,665,475
Trouts,2000,36,17,60,660,508
Trouts,2001,36,17,60,734,565
Trouts,2002,35,16,60,728,560
Trouts,2003,35,16,60,734,565
Trouts,2004,34,16,60,744,572
Trouts,2005,34,16,60,736,566
Trouts,2006,30,15,60,793,610
Trouts,2007,24,12,60,867,667
Trouts,2010,18,8,60,978,752
Trouts,2015,12,6,60,1439,1107
