Year,MTL,Sensitivity
1995,2.4978414989379294,All variables
1996,2.4830670742447856,All variables
1997,2.48004317367707,All variables
1998,2.4842615879833074,All variables
1999,2.43992376442668,All variables
2000,2.4578237725248315,All variables
2001,2.455185151564602,All variables
2002,2.4352888861632365,All variables
2003,2.4615970296963976,All variables
2004,2.460468742229816,All variables
2005,2.453629379380759,All variables
2006,2.3887165301075113,All variables
2007,2.350340379642008,All variables
2010,2.2624756479251853,All variables
2015,2.2074894630566515,All variables
1995,2.4978414989379294,FF TL
1996,2.496011610236328,FF TL
1997,2.497760585114512,FF TL
1998,2.5111035748921355,FF TL
1999,2.492171472509454,FF TL
2000,2.4895869837117037,FF TL
2001,2.503592826417791,FF TL
2002,2.494792996981559,FF TL
2003,2.511651423679915,FF TL
2004,2.5036195659795895,FF TL
2005,2.504847062924915,FF TL
2006,2.511490047125503,FF TL
2007,2.51019073907252,FF TL
2010,2.5112121931236997,FF TL
2015,2.5251399249557895,FF TL
1995,2.4978414989379294,FF inclusion
1996,2.488322622316914,FF inclusion
1997,2.481040730181915,FF inclusion
1998,2.470935324476108,FF inclusion
1999,2.451406295839835,FF inclusion
2000,2.4416666185595934,FF inclusion
2001,2.42410442856887,FF inclusion
2002,2.4150265750729814,FF inclusion
2003,2.4100189533513126,FF inclusion
2004,2.404963854817466,FF inclusion
2005,2.3998939645741735,FF inclusion
2006,2.3276758064052125,FF inclusion
2007,2.293849913532182,FF inclusion
2010,2.223657146398723,FF inclusion
2015,2.172248159344298,FF inclusion
1995,2.4978414989379294,Spp. comp
1996,2.4946185552705633,Spp. comp
1997,2.497279443759144,Spp. comp
1998,2.4995816540529687,Spp. comp
1999,2.4925629949920616,Spp. comp
2000,2.528969669304872,Spp. comp
2001,2.5330885195405872,Spp. comp
2002,2.5321134389970417,Spp. comp
2003,2.551192198537101,Spp. comp
2004,2.5631650195185984,Spp. comp
2005,2.5626900401774044,Spp. comp
2006,2.569373800828213,Spp. comp
2007,2.5677759962742615,Spp. comp
2010,2.5469626621521266,Spp. comp
2015,2.5866526373707672,Spp. comp
