Year,MTL,Sensitivity
1995,2.6311381479988163,Exponential
1996,2.5907400218197556,Exponential
1997,2.5981379854840365,Exponential
1998,2.6037652983822572,Exponential
1999,2.5629210030394023,Exponential
2000,2.55791324115308,Exponential
2001,2.548742885530375,Exponential
2002,2.54585251078655,Exponential
2003,2.530043666262913,Exponential
2004,2.5266504880722835,Exponential
2005,2.518748273311192,Exponential
2006,2.4551925862746464,Exponential
2007,2.4085090306636987,Exponential
2010,2.298893141715245,Exponential
2015,2.236513761849607,Exponential
1995,2.6311381479988163,Linear
1996,2.591823712446951,Linear
1997,2.6002726277542765,Linear
1998,2.6069022805731827,Linear
1999,2.566882347772308,Linear
2000,2.5627568229690154,Linear
2001,2.554508647998418,Linear
2002,2.5525954925247265,Linear
2003,2.5380397866190436,Linear
2004,2.535760931832508,Linear
2005,2.528500693512697,Linear
2006,2.4658200207123753,Linear
2007,2.419164418219447,Linear
2010,2.3078814460369057,Linear
2015,2.2365137618496025,Linear
1995,2.6314269753108004,Salmon w/ by-product
1996,2.5911153260119453,Salmon w/ by-product
1997,2.598622546705023,Salmon w/ by-product
1998,2.604342239933633,Salmon w/ by-product
1999,2.5636430973871707,Salmon w/ by-product
2000,2.558810658952729,Salmon w/ by-product
2001,2.5498889465780077,Salmon w/ by-product
2002,2.547136071899226,Salmon w/ by-product
2003,2.531543905686655,Salmon w/ by-product
2004,2.5284739286568927,Salmon w/ by-product
2005,2.52078842538435,Salmon w/ by-product
2006,2.4575184156567818,Salmon w/ by-product
2007,2.411133800387455,Salmon w/ by-product
2010,2.302719663160291,Salmon w/ by-product
2015,2.247270593703524,Salmon w/ by-product
